wetland,loc,plant_id,status,date,ht_cm,stem_ct,soil moist,water depth_cm,notes,date,status,ht_cm,stem_ct,soil moist,water depth_cm,notes,Third week (08/09/23),alive/wilt/dead,ht_cm,# of stems,soil moist,water depth_cm
unburned,0,3-9-H,a,07/10/2023,13,1,,0,,2023-07-18,a,14,2,,0,,,,,,,
unburned,0,3-8-C,d,07/10/2023,0,0,,0,,2023-07-18,d,0,0,,0,,,,,,,
unburned,0,1-7-D,a,07/10/2023,15,1,,0,,2023-07-18,a,16,2,,0,,,,,,,
unburned,1,3-2-B,w,07/10/2023,8,2,,0,,2023-07-18,a,9,3,,0,,,,,,,
unburned,1,2-7-B,a,07/10/2023,14,1,,0,,2023-07-18,a,15,2,,0,,,,,,,
unburned,1,2-3-B,a,07/10/2023,32,1,,0,,2023-07-18,a,34,4,,0,,,,,,,
unburned,2,2-5-A,a,07/10/2023,31,1,,0,,2023-07-18,a,32,4,,0,,,,,,,
unburned,2,2-4-B,a,07/10/2023,19,1,,0,,2023-07-18,a,20,2,,0,,,,,,,
unburned,2,3-11-H,w,07/10/2023,5,1,,0,,2023-07-18,w,6,2,,0,,,,,,,
unburned,3,1-3-A,a,07/10/2023,22,2,,0,,2023-07-18,a,25,4,,0,,,,,,,
unburned,3,3-3-E,w,07/10/2023,11,1,,0,,2023-07-18,w,14,2,,0,,,,,,,
unburned,3,2-1-D,a,07/10/2023,20,1,,0,,2023-07-18,a,23,2,,0,,,,,,,
unburned,4,1-4-A,w,07/10/2023,14,1,,0,,2023-07-18,w,17,2,,0,,,,,,,
unburned,4,3-9-G,w,07/10/2023,12,1,,0,,2023-07-18,w,15,3,,0,,,,,,,
unburned,4,1-8-A,w,07/10/2023,34,1,,0,,2023-07-18,w,35,2,,0,,,,,,,
unburned,5,1-9-B-1,w,07/10/2023,19,1,,0,,2023-07-18,w,22,2,,0,,,,,,,
unburned,5,2-4-C,w,07/10/2023,16,1,,0,,2023-07-18,w,19,2,,0,,,,,,,
unburned,5,3-1-G,a,07/10/2023,17,1,,0,,2023-07-18,a,20,3,,0,,,,,,,
unburned,6,1-6-A,a,07/10/2023,16,1,,0,,2023-07-18,a,,2,,0,,,,,,,
unburned,6,2-7-D-1,d,07/10/2023,0,0,,0,,2023-07-18,d,0,0,,0,,,,,,,
unburned,6,2-1-B,w,07/10/2023,22,1,,0,,2023-07-18,a,25,2,,0,,,,,,,
unburned,7,1-2-C,w,07/10/2023,26,1,,0,,2023-07-18,a,27,2,,0,,,,,,,
unburned,7,2-4-D,w,07/10/2023,16,2,,0,,2023-07-18,a,18,3,,0,,,,,,,
unburned,7,3-2-A,a,07/10/2023,4,1,,0,,2023-07-18,a,6,2,,0,,,,,,,
unburned,8,3-8-A,w,07/10/2023,8,1,,0,,2023-07-18,a,11,2,,0,,,,,,,
unburned,8,3-7-H,w,07/10/2023,17,1,,0,,2023-07-18,a,19,2,,0,,,,,,,
unburned,8,1-7-A,a,07/10/2023,21,1,,0,,2023-07-18,a,22,2,,0,,,,,,,
unburned,9,3-6-B,w,07/10/2023,19,1,,0,,2023-07-18,a,21,2,,0,,,,,,,
unburned,9,2-1-A,a,07/10/2023,22,1,,1,,2023-07-18,a,25,2,,0,,,,,,,
unburned,9,2-3-A,a,07/10/2023,10,1,,0,,2023-07-18,a,12,3,,0,,,,,,,
unburned,10,3-10-B,w,07/10/2023,26,1,,0,,2023-07-18,a,28,2,,0,,,,,,,
unburned,10,3-10-D,a,07/10/2023,19,2,,0,,2023-07-18,a,20,4,,0,,,,,,,
unburned,10,1-4-C,a,07/10/2023,15,2,,0,,2023-07-18,a,16,4,,0,,,,,,,
unburned,11,1-5-B,a,07/10/2023,5,1,,0,,2023-07-18,a,6,2,,0,,,,,,,
unburned,11,3-2-E,a,07/10/2023,15,1,,0,,2023-07-18,a,17,3,,0,,,,,,,
unburned,11,2-2-E,a,07/10/2023,9,1,,0,,2023-07-18,a,11,2,,0,,,,,,,
unburned,12,2-6-D-2,a,07/10/2023,2,1,,0,,2023-07-18,a,3,3,,0,,,,,,,
unburned,12,3-10-G,a,07/10/2023,12,1,,0,,2023-07-18,a,14,2,,0,,,,,,,
unburned,12,3-7-A,d,07/10/2023,,,,,,2023-07-18,d,0,0,,0,,,,,,,
unburned,13,1-6-B,a,07/10/2023,30,1,,0,,2023-07-18,a,32,3,,0,,,,,,,
unburned,13,3-6-C,d,07/10/2023,,,,,,2023-07-18,d,0,0,,0,,,,,,,
unburned,13,2-3-D,w,07/10/2023,22,1,,0,,2023-07-18,a,24,2,,0,,,,,,,
unburned,14,3-6-F,a,07/10/2023,5,1,,0,,2023-07-18,a,7,2,,0,,,,,,,
unburned,14,3-1-C,,07/10/2023,,,,,,2023-07-18,,,,,,,,,,,,
unburned,14,1-1-A,,07/10/2023,,,,,,2023-07-18,,,,,,,,,,,,
unburned,15,1-8-D,w,07/10/2023,10,1,,0,,2023-07-18,a,12,2,,0,,,,,,,
unburned,15,1-10-E,a,07/10/2023,11,1,,0,,2023-07-18,a,13,2,,0,,,,,,,
unburned,15,1-7-C,a,07/10/2023,20,1,,0,,2023-07-18,a,22,2,,0,,,,,,,
unburned,16,1-4-E,a,07/10/2023,20,1,,0,,2023-07-18,a,21,2,,0,,,,,,,
unburned,16,3-9-F,w,07/10/2023,15,1,,0,,2023-07-18,a,16,2,,0,,,,,,,
unburned,16,3-12-C,d,07/10/2023,,,,,,2023-07-18,d,0,0,,0,,,,,,,
unburned,17,3-8-D,a,07/10/2023,16,1,,0,,2023-07-18,a,17,2,,0,,,,,,,
unburned,17,3-3-D,d,07/10/2023,,,,,,2023-07-18,d,,0,,0,,,,,,,
unburned,17,1-9-B-2,a,07/10/2023,11,1,,0,,2023-07-18,a,13,2,,0,,,,,,,
unburned,18,3-7-F,a,07/10/2023,9,1,,0,,2023-07-18,a,11,2,,0,,,,,,,
unburned,18,2-3-E-1,a,07/10/2023,22,1,,0,,2023-07-18,a,24,2,,0,,,,,,,
unburned,18,3-4-D,a,07/10/2023,13,1,,0,,2023-07-18,a,16,2,,0,,,,,,,
unburned,19,1-2-A,w,07/10/2023,19,1,,0,,2023-07-18,a,21,2,,0,,,,,,,
unburned,19,1-6-C,w,07/10/2023,17,1,,0,,2023-07-18,a,18,2,,0,,,,,,,
unburned,19,3-1-E-2,w,07/10/2023,3,1,,0,,2023-07-18,a,4,2,,0,,,,,,,
unburned,20,3-1-G,a,07/10/2023,20,1,,0,2-3-E-2,2023-07-18,a,22,2,,0,,,,,,,
unburned,20,3-12-D,w,07/10/2023,5,1,,0,,2023-07-18,a,6,2,,0,,,,,,,
unburned,20,2-3-E-2,w,07/10/2023,9,1,,0,,2023-07-18,a,11,2,,0,,,,,,,
unburned,21,1-2-E,w,07/10/2023,18,1,,0,,2023-07-18,a,20,2,,0,,,,,,,
unburned,21,3-9-E,d,07/10/2023,,,,,,2023-07-18,d,0,0,,0,,,,,,,
unburned,21,3-1-D,a,07/10/2023,15,1,,0,,2023-07-18,a,16,2,,0,,,,,,,
unburned,22,3-3-G,a,07/10/2023,10,1,,0,2-3-D,2023-07-18,a,13,2,,0,,,,,,,
unburned,22,2-7-A,a,07/10/2023,17,1,,0,,2023-07-18,a,19,2,,0,,,,,,,
unburned,22,2-3-D,a,07/10/2023,5,1,,0,,2023-07-18,a,6,2,,0,,,,,,,
unburned,23,1-3-B,a,07/10/2023,19,1,,0,,2023-07-18,a,21,2,,0,,,,,,,
unburned,23,3-6-A,a,07/10/2023,16,1,,0,,2023-07-18,a,18,2,,0,,,,,,,
unburned,23,3-5-G,w,07/10/2023,8,1,,0,,2023-07-18,a,10,2,,0,,,,,,,
unburned,24,3-10-H,d,07/10/2023,,,,,,2023-07-18,d,0,0,,0,,,,,,,
unburned,24,3-3-F,a,07/10/2023,5,1,,0,,2023-07-18,a,7,2,,0,,,,,,,
unburned,24,1-4-B,w,07/10/2023,17,1,,0,,2023-07-18,a,19,2,,0,,,,,,,
unburned,25,2-6-D-1,w,07/10/2023,20,1,,0,,2023-07-18,a,21,3,,0,,,,,,,
unburned,25,3-7-G,d,07/10/2023,,,,,,2023-07-18,d,0,0,,0,,,,,,,
unburned,25,3-12-A,a,07/10/2023,0.5,1,,0,,2023-07-18,a,1,2,,0,,,,,,,
unburned,26,3-8-F,a,07/10/2023,14,1,,0,,2023-07-18,a,16,2,,0,,,,,,,
unburned,26,1-10-D,a,07/10/2023,20,1,,0,,2023-07-18,a,21,3,,0,,,,,,,
unburned,26,1-5-E,w,07/10/2023,0.5,1,,0,,2023-07-18,a,2,2,,0,,,,,,,
burned,0,2-8-E,a,07/10/2023,26,1,0.45,0,,2023-07-18,a,28,3,,0,,,,,,,
burned,0,2-8-C,a,07/10/2023,17,1,,0,,2023-07-18,a,19,4,,0,,,,,,,
burned,0,3-1-E-1,a,07/10/2023,16,1,,0,,2023-07-18,a,19,2,,0,,,,,,,
burned,1,1-4-D,a,07/10/2023,17,2,,3,,2023-07-18,a,21,3,,0,,,,,,,
burned,1,3-2-C,w,07/10/2023,15,1,,2.5,,2023-07-18,a,18,2,,0,,,,,,,
burned,1,3-3-A,d,07/10/2023,,,,,,2023-07-18,d,,,,,,,,,,,
burned,2,3-5-H,a,07/10/2023,12,1,,6,*2 plants this meter,2023-07-18,a,14,2,,0,,,,,,,
burned,2,3-2-H,a,07/10/2023,11,1,,9,,2023-07-18,a,14,2,,0,,,,,,,
burned,3,2-8-A,a,07/10/2023,11,1,,5,,2023-07-18,a,15,3,,0,,,,,,,
burned,3,2-4-E,a,07/10/2023,49,1,,7,,2023-07-18,a,52,2,,0,,,,,,,
burned,3,3-11-B,a,07/10/2023,8,1,,4,,2023-07-18,a,11,3,,0,,,,,,,
burned,4,3-10-E,a,07/10/2023,6,1,,3,,2023-07-18,a,9,2,,0,,,,,,,
burned,4,3-10-F,a,07/10/2023,16,1,,2,,2023-07-18,a,19,2,,0,,,,,,,
burned,4,3-7-B,a,07/10/2023,26,1,,14,,2023-07-18,a,29,2,,0,,,,,,,
burned,5,1-9-C,a,07/10/2023,22,2,,0,,2023-07-18,a,25,3,,0,,,,,,,
