wetland,loc,pos,plant_id,tray,col,row,stem#,clone#,plant_id2,plant_id3,date,status,ht_cm,stem_ct,soil_moist,water_depth_cm,dist_cm,flowering,notes
mowed,0,a,3-9-H,3,9,H,1,1,3-9-H-1_1,UNB-0-a-1_1,7/10/2023,a,13,1,,0,,,
mowed,0,b,3-8-C,3,8,C,1,1,3-8-C-1_1,UNB-0-b-1_1,7/10/2023,d,0,0,,0,,,
mowed,0,c,1-7-D,1,7,D,1,1,1-7-D-1_1,UNB-0-c-1_1,7/10/2023,a,15,1,,0,,,
mowed,1,a,3-2-B,3,2,B,1,1,3-2-B-1_1,UNB-1-a-1_1,7/10/2023,w,8,2,,0,,,
mowed,1,b,2-7-B,2,7,B,1,1,2-7-B-1_1,UNB-1-b-1_1,7/10/2023,a,14,1,,0,,,
mowed,1,c,2-3-B,2,3,B,1,1,2-3-B-1_1,UNB-1-c-1_1,7/10/2023,a,32,1,,0,,,
mowed,2,a,2-5-A,2,5,A,1,1,2-5-A-1_1,UNB-2-a-1_1,7/10/2023,a,31,1,,0,,,
mowed,2,b,2-4-B,2,4,B,1,1,2-4-B-1_1,UNB-2-b-1_1,7/10/2023,a,19,1,,0,,,
mowed,2,c,3-11-H,3,11,H,1,1,3-11-H-1_1,UNB-2-c-1_1,7/10/2023,w,5,1,,0,,,
mowed,3,a,1-3-A,1,3,A,1,1,1-3-A-1_1,UNB-3-a-1_1,7/10/2023,a,22,2,,0,,,
mowed,3,b,3-3-E,3,3,E,1,1,3-3-E-1_1,UNB-3-b-1_1,7/10/2023,w,11,1,,0,,,
mowed,3,c,2-1-D,2,1,D,1,1,2-1-D-1_1,UNB-3-c-1_1,7/10/2023,a,20,1,,0,,,
mowed,4,a,1-4-A,1,4,A,1,1,1-4-A-1_1,UNB-4-a-1_1,7/10/2023,w,14,1,,0,,,
mowed,4,b,3-9-G,3,9,G,1,1,3-9-G-1_1,UNB-4-b-1_1,7/10/2023,w,12,1,,0,,,
mowed,4,c,1-8-A,1,8,A,1,1,1-8-A-1_1,UNB-4-c-1_1,7/10/2023,w,34,1,,0,,,
mowed,5,a,1-9-B-1,1,9,B,1,1,1-9-B-1_1,UNB-5-a-1_1,7/10/2023,w,19,1,,0,,,
mowed,5,b,2-4-C,2,4,C,1,1,2-4-C-1_1,UNB-5-b-1_1,7/10/2023,w,16,1,,0,,,
mowed,5,c,3-1-G,3,1,G,1,1,3-1-G-1_1,UNB-5-c-1_1,7/10/2023,a,17,1,,0,,,
mowed,6,a,1-6-A,1,6,A,1,1,1-6-A-1_1,UNB-6-a-1_1,7/10/2023,a,16,1,,0,,,
